,Player ID,Player,SVM accuracy,SVM precision,SVM recall,RF accuracy,RF precision,RF recall,NN accuracy,NN precision,NN recall,Decision Tree accuracy,Decision Tree precision,Decision Tree recall,Hierarchical accuracy,Hierarchical precision,Hierarchical recall
0,668804,bryan reynolds,0.6039325842696629,0.5409032733401106,0.5537169750415172,0.6418539325842697,0.5499172900008482,0.5442561399425611,0.6605805243445693,0.524658165338183,0.46978039826506834,0.5051498127340824,0.5050895621057891,0.4689520665551004,0.598314606741573,0.5008066720900458,0.5003758739229711
1,592518,manny machado,0.5717809570794278,0.5180457079006558,0.5372979405027023,0.61667488899852,0.5225564895244845,0.5307748138355691,0.6650222002960039,0.5477704445473313,0.4813125290223674,0.517513566847558,0.49867204059527015,0.4916097946532093,0.5772076961026147,0.4820059618223499,0.4815484791267189
2,553993,eugenio suárez,0.6086572438162544,0.5616744132696424,0.5696573381449381,0.6382508833922261,0.5389923153472073,0.5431163476073699,0.6470848056537103,0.5408580547639381,0.5222488563706429,0.6236749116607774,0.5173332653066782,0.5248911357146543,0.6015901060070671,0.5373487883214481,0.5352530894451647
3,665742,juan soto,0.622427551448971,0.5440334041023407,0.5396740132191434,0.6925661486770265,0.534216045821746,0.5313196138170936,0.7118857622847543,0.6283113110512303,0.5310519081355527,0.6572868542629148,0.5473158908403455,0.5207317585169113,0.6425871482570349,0.5183471823339278,0.517290193427012
4,502671,paul goldschmidt,0.5964467005076142,0.5326910603782107,0.5382460018595249,0.6501692047377327,0.5206376233636976,0.5399839630475362,0.6666666666666666,0.5387775523609171,0.5390313623051068,0.561336717428088,0.4962688974162905,0.5018234451538884,0.5947546531302876,0.5256940675066686,0.5193867299273971
5,543760,marcus semien,0.6055578598092078,0.5300346057270535,0.5427906790242846,0.6636250518457072,0.5343987366151651,0.5441838306466417,0.6951472418083783,0.48770581015386627,0.512796868578198,0.5665698880132725,0.501916342165204,0.5046001307529273,0.6229780174201576,0.4986523947447815,0.496522852437453
6,665489,vladimir guerrero,0.5841313269493844,0.5477114335673375,0.5647141671629041,0.6119471044231646,0.5280439271250525,0.5435539263010165,0.6684906520747834,0.589458105692596,0.506235103011416,0.5713634290925672,0.5084522117087067,0.5228461446865116,0.5891472868217055,0.49892436061905865,0.4939015128104361
7,593428,xander bogaerts,0.6386595434677028,0.582350343027312,0.5912529075719632,0.676056338028169,0.5721293395097496,0.5836490711514497,0.6993686255463817,0.5735456524232896,0.5729760734081228,0.6420592520641087,0.568059342139425,0.5753281972803347,0.6396308887809616,0.5497696904483579,0.5539864728757433
8,642715,willy adames,0.5898035547240411,0.5430184710465098,0.5567550183696962,0.6248830682881198,0.5219652283628714,0.5387263147133241,0.6365762394761459,0.5036450710425756,0.5050733930399347,0.5374181478016838,0.4796073301305055,0.4964061620394259,0.5771749298409729,0.5031567711713374,0.5025398265700236
9,624413,pete alonso,0.5990888382687927,0.5603073286564826,0.5819840536502514,0.6255125284738041,0.5522926679444473,0.5604747849069893,0.6646924829157176,0.5880891035659547,0.5325871064796062,0.5425968109339407,0.5231518223046576,0.53617986107348,0.5895216400911162,0.5146926782989931,0.5133380097202646
10,457759,justin turner,0.6218074656188605,0.5542112625234594,0.5629393612127337,0.6728880157170923,0.5380467895432056,0.5411572073272142,0.6709233791748527,0.47829501658942175,0.5000558409911454,0.6213163064833006,0.5001096980060895,0.514441769181419,0.6134577603143418,0.510011341191666,0.5049398480391847
11,650402,gleyber torres,0.6181026137463698,0.5419289145589723,0.5479020436830991,0.6636011616650532,0.5150563507788457,0.5394601741249286,0.6853823814133592,0.48864852677763426,0.5146031059079254,0.5895450145208132,0.5013333261822532,0.5156800443375362,0.6142303969022265,0.5213374033843912,0.5146806858751518
12,663586,austin riley,0.6016068052930057,0.5578830549371033,0.5819054386793898,0.6342155009451795,0.5478546992206075,0.5657964447692593,0.6568998109640832,0.5640623506550423,0.5152403090161795,0.5897920604914934,0.5194699604067667,0.5452835062768784,0.5760869565217391,0.5008631889523666,0.50076418111878
13,518692,freddie freeman,0.5835122370115929,0.5086143382997397,0.532037536051638,0.6556462000858738,0.4811841326545164,0.5227522206431162,0.7024474023185917,0.544214850506548,0.47713741585587205,0.5186775440103049,0.49522793136630283,0.48889521409313597,0.6285959639330184,0.5044311776824959,0.5029357238350312
14,656941,kyle schwarber,0.6039775183744055,0.5331281768187395,0.5400697080097453,0.6545611759619542,0.5340386925754687,0.5349366452742859,0.6632079550367488,0.4960833698063159,0.5243782994081825,0.6333765672287073,0.5207418960679636,0.5252514380595359,0.6009511456982274,0.5156519374695798,0.5150060945180552
15,660271,shohei ohtani,0.5889967637540453,0.5348041916115027,0.5530922122060427,0.624133148404993,0.5475244192009626,0.5460719979713548,0.6601941747572816,0.5448508250796552,0.5227203350892702,0.5330559408229311,0.4765057745881929,0.48580164373239026,0.5839112343966713,0.507385147024058,0.5109216566439283
16,656305,matt chapman,0.5995464852607709,0.5401770401717332,0.5426893022521163,0.6444444444444445,0.5336555707008399,0.5379042985849296,0.6616780045351474,0.5158286827425764,0.5239942410363427,0.6113378684807256,0.4522516922789595,0.5075505059761355,0.5555555555555556,0.4836963821775859,0.47965649696464163
17,596019,francisco lindor,0.6362038664323374,0.5810981762030277,0.6115661333442415,0.6761862917398945,0.5744919106716987,0.5798174617772149,0.6854130052724078,0.5362815344187782,0.5333693206348846,0.6375219683655536,0.5400944235485674,0.5586903404701551,0.6151142355008787,0.5347054094570789,0.5334128593078408
